imputacao,link,tcp,modelo,RMSE,MAE,NRMSE
interpolacao-linear,ap-ba,bbr,bi-LSTM,32.798471083104246,22.89360071212746,0.17131827968363209
interpolacao-linear,ap-ba,bbr,GRU,32.972694579847726,22.911409079920155,0.17222831203443686
interpolacao-linear,ap-ba,bbr,LSTM,34.78843990219509,24.328223462705143,0.18171260671939235
interpolacao-linear,ba-go,bbr,bi-LSTM,19.233219971170055,14.70641873717304,0.18967667504832195
interpolacao-linear,ba-go,bbr,GRU,19.51610701824148,15.07039075558559,0.19246648739296193
interpolacao-linear,ba-go,bbr,LSTM,20.16923302993633,15.810145970035048,0.1989075706058377
interpolacao-linear,ba-pa,bbr,bi-LSTM,24.315776817918582,14.840284115832741,0.1402758850809353
interpolacao-linear,ba-pa,bbr,GRU,24.789653090589198,15.218243476891278,0.1430096416072224
interpolacao-linear,ba-pa,bbr,LSTM,26.185474720547333,16.505248620954877,0.15106203146191147
interpolacao-linear,ba-pe,bbr,bi-LSTM,586.1193991644997,429.90180297417845,0.17977412773648416
interpolacao-linear,ba-pe,bbr,GRU,635.3810964878568,479.3454723155076,0.19488364071242253
interpolacao-linear,ba-pe,bbr,LSTM,641.2738762106147,474.0066642005943,0.19669106994290383
interpolacao-linear,ce-am,bbr,bi-LSTM,77.32322189997447,52.04289275499744,0.1152558730500074
interpolacao-linear,ce-am,bbr,GRU,80.92955499650434,57.24927625865611,0.12063137421688032
interpolacao-linear,ce-am,bbr,LSTM,87.17944717909913,60.84305892535945,0.1299472920262185
interpolacao-linear,ce-ro,bbr,bi-LSTM,14.361279115843589,8.735396144665124,0.12963867769424883
interpolacao-linear,ce-ro,bbr,GRU,14.45324565427061,8.823730334200775,0.13046885586554025
interpolacao-linear,ce-ro,bbr,LSTM,14.974599359154919,9.385161359316312,0.1351750943814142
interpolacao-linear,es-pr,bbr,bi-LSTM,14.587126302629219,9.403356172576826,0.1304519402260132
interpolacao-linear,es-pr,bbr,GRU,14.325761840786962,9.31458323438423,0.12811457092886075
interpolacao-linear,es-pr,bbr,LSTM,14.829616037607183,9.739404614066189,0.13262051378577358
interpolacao-linear,go-se,bbr,bi-LSTM,13.016168428561063,8.119506060507355,0.11707018868312397
interpolacao-linear,go-se,bbr,GRU,12.86983345933297,8.060948164328982,0.11575402082984997
interpolacao-linear,go-se,bbr,LSTM,13.240366561652676,8.397712472671719,0.11908667440144383
interpolacao-linear,ma-rj,bbr,bi-LSTM,44.991826991465864,27.18864994306593,0.14855574184865045
interpolacao-linear,ma-rj,bbr,GRU,45.49279667193424,27.604764664650958,0.15020986277465279
interpolacao-linear,ma-rj,bbr,LSTM,47.45317406118975,29.55471429657694,0.1566827121083643
interpolacao-linear,pb-ac,bbr,bi-LSTM,44.30598034719679,37.75909161587625,0.17919697904480272
interpolacao-linear,pb-ac,bbr,GRU,50.82331789889332,45.41121988114364,0.20555656281943782
interpolacao-linear,pb-ac,bbr,LSTM,48.74785697647758,42.57963182931705,0.19716229359194354
interpolacao-linear,pb-es,bbr,bi-LSTM,29.072071987582518,16.69205538803916,0.12752959028383495
interpolacao-linear,pb-es,bbr,GRU,28.729012239400216,16.456329836542686,0.12602470032802957
interpolacao-linear,pb-es,bbr,LSTM,29.666398285579604,17.112949858971525,0.13013670371251837
interpolacao-linear,pr-pa,bbr,bi-LSTM,15.479063611031005,8.567355060314293,0.15341116825475418
interpolacao-linear,pr-pa,bbr,GRU,15.489145883992238,8.56363819720639,0.1535110924693264
interpolacao-linear,pr-pa,bbr,LSTM,16.139267256683677,9.12678498912635,0.15995436848383301
interpolacao-linear,rj-am,bbr,bi-LSTM,41.94164589982622,20.964953575045318,0.1277525754873372
interpolacao-linear,rj-am,bbr,GRU,41.15382705336967,21.352185033542394,0.1253529107986249
interpolacao-linear,rj-am,bbr,LSTM,43.624031992480255,23.551165212085,0.13287705621978077
interpolacao-linear,rj-go,bbr,bi-LSTM,59.47757212799816,30.443479549482856,0.12996250100597367
interpolacao-linear,rj-go,bbr,GRU,63.932732166452006,31.656282945430696,0.1396973257519013
interpolacao-linear,rj-go,bbr,LSTM,65.33448277394265,32.90424815526005,0.14276024523933564
interpolacao-linear,ro-se,bbr,bi-LSTM,8.811572325636385,5.876370715456803,0.12528512138163006
interpolacao-linear,ro-se,bbr,GRU,8.733144427032363,5.791684533816178,0.12417001406216521
interpolacao-linear,ro-se,bbr,LSTM,9.081152739764502,6.171307493735851,0.12911808258968688
interpolacao-linear,rs-go,bbr,bi-LSTM,14.626691547457266,9.468651785024447,0.1206673762500531
interpolacao-linear,rs-go,bbr,GRU,14.716992722095064,9.355992506039113,0.12141234347524457
interpolacao-linear,rs-go,bbr,LSTM,15.689519132565318,10.14181273951449,0.129435498260766
interpolacao-linear,rs-pe,bbr,bi-LSTM,420.32857992833823,306.3645544310373,0.1607130917955991
interpolacao-linear,rs-pe,bbr,GRU,432.5283713598366,319.00219204831035,0.16537769537918562
interpolacao-linear,rs-pe,bbr,LSTM,445.9922037826822,329.2460349553175,0.17052560641693199
interpolacao-linear,se-es,bbr,bi-LSTM,11.914876399757649,8.076478119094777,0.1483394874805421
interpolacao-linear,se-es,bbr,GRU,11.949741770772082,8.531572912824606,0.14877355923198762
interpolacao-linear,se-es,bbr,LSTM,12.329513776565271,8.659556163127203,0.1535016976371804
interpolacao-linear,to-ba,bbr,bi-LSTM,28.26780422711525,19.63271731112456,0.17030018553809126
interpolacao-linear,to-ba,bbr,GRU,28.464995017495088,21.54920625415383,0.17148816702820915
interpolacao-linear,to-ba,bbr,LSTM,28.97663597583246,21.52167852544564,0.17457056244292485
interpolacao-linear,to-rs,bbr,bi-LSTM,59.18373616958744,33.86965372028132,0.13162835284509833
interpolacao-linear,to-rs,bbr,GRU,59.57436760282748,33.63186204100646,0.13249714172959137
interpolacao-linear,to-rs,bbr,LSTM,61.747845468126414,35.783468789631016,0.13733109324854925
knn,ap-ba,bbr,bi-LSTM,31.539700340642856,19.573478765063687,0.16474326472125284
knn,ap-ba,bbr,GRU,30.472186585995647,18.10227205889348,0.15916725419559802
