,Prediction,Test
0,889.7644,866.9114650000001
1,884.1299,922.3811690000001
2,892.90356,860.618278
3,889.23065,917.350291
4,898.06,863.9778215
5,886.79535,909.1191640000001
6,896.22766,882.692599
7,888.6194,898.112304
8,896.87634,899.1048973687653
9,893.6024,906.0495845
10,899.1561,887.8842140000002
11,898.29596,892.4448208308174
12,896.43066,871.2682435
13,889.2701,859.843798
14,883.5094,897.5537960000001
15,880.79755,935.4218245
16,892.8816,915.93599
17,909.50195,886.9695420000002
18,910.5267,921.545533
19,903.4644,894.1386875356214
20,899.7702,922.909565
21,906.9829,854.3438655
22,895.83386,922.437507
23,897.44885,893.3274865309367
24,890.92017,883.3359746558799
25,900.82886,874.7070114849828
26,889.05225,917.4255035
27,890.8714,879.4508019336672
28,893.09607,905.5948144999999
29,899.5188,915.323934
30,897.096,920.23269
31,907.42505,830.741521
32,897.2689,878.236717
33,883.9717,767.603344
34,853.95276,902.7294364059611
35,860.7462,902.039443
36,863.6542,897.2424781981011
37,899.76495,870.163621
38,894.15234,889.3760025
39,889.16907,914.9035575
40,890.48804,913.682453
41,901.85297,907.439666
42,907.56586,914.4675955
43,906.79236,894.5096730615933
44,903.6906,904.3975685
45,902.2399,905.5802870000001
46,899.40137,921.809936
47,904.94086,876.6850270000001
48,902.1975,883.818554
49,896.6249,881.1134760000001
50,885.6203,885.85068
51,887.6465,900.1032615
52,890.3034,918.190532
53,897.944,886.9697441870326
54,901.41815,905.1323056961332
55,901.51215,891.7800390006107
56,895.35754,910.072975978236
57,899.9003,881.168903
58,896.23047,914.5073273583297
59,899.32684,923.325674
60,901.0149,884.2501206153422
61,906.20044,896.7127710927888
62,900.92645,915.385022374256
63,896.2308,913.5821252102984
64,903.96606,909.8211411499268
65,908.0459,912.5502470000001
66,907.0521,889.5742659999999
67,903.0965,903.0816845485506
68,900.2913,899.7571975277743
69,896.81396,899.4930021051704
70,899.65094,910.130213440503
71,900.3408,907.050024146158
72,902.4095,913.3581101698479
73,905.55005,898.041884
74,903.8637,921.0583381372162
75,905.4163,902.414791
76,903.9797,916.125982
77,907.8307,916.958339
78,906.2392,904.1591093232964
79,908.19434,903.9748705570868
80,905.2363,893.8642719355239
81,900.10455,829.900018
82,887.5407,912.0983770000001
83,881.85547,907.2823340000001
84,883.8555,878.44674
85,900.6771,878.785756909557
86,892.3008,885.6591630767256
87,885.5728,876.5044018347128
88,885.9278,732.7739079999999
89,863.07275,868.4259366847788
90,846.35114,915.315765
91,847.77155,884.7631464614525
92,891.68744,881.120802769275
93,896.4214,888.040612
94,888.2493,872.5352579895315
95,886.5325,874.5939425521913
96,884.9254,871.3743265858707
97,880.6886,850.803931
98,877.2418,892.9458885
99,877.8774,878.4371007442353
100,880.3643,876.5044115
101,888.0212,876.3140731414406
102,883.5464,923.5351590000001
103,890.35223,920.593247
104,901.4805,905.4965924999999
105,911.32825,817.729785
106,893.0387,822.321739
107,868.0023,893.389834
108,856.2667,906.6547565
109,877.0781,897.7149815
110,898.4199,918.6284245
111,903.1205,889.8955769814767
112,901.3304,868.8307950000001
113,896.6679,912.396186
114,890.43036,924.2214940000001
115,897.2524,903.1418597009341
116,908.8044,882.3815704181638
117,903.5886,906.132976
118,896.4197,918.5550099999999
119,898.5371,911.651592185307
120,907.0255,920.01911
121,910.03455,904.1639546108357
122,907.7248,922.060023
123,908.90717,846.787794
124,897.1836,922.591669
125,895.37244,834.930852
126,879.7483,912.890315
127,891.06903,905.133294408774
128,885.09424,911.4280505214936
129,905.5306,902.945746812469
130,903.6313,919.1120067777797
131,905.7935,902.8837739928318
132,904.91675,901.7686122149488
133,905.1653,922.172468
134,903.6428,914.306711
135,907.13745,902.0646390702669
136,908.86707,891.9754056265054
