,Prediction,Test
0,866.3399,869.2367537907704
1,865.0715,874.7655051481491
2,868.173,871.7350867326038
3,871.80896,874.304504
4,872.9954,874.2064341588714
5,872.8168,877.3967130000001
6,874.06744,882.3793510000002
7,875.76514,867.2449290723362
8,875.23706,788.929932
9,858.6353,867.5669554999998
10,848.0771,872.8901889999999
11,848.0397,890.0574359999999
12,874.1315,876.020204
13,877.5738,887.7415749999999
14,880.71954,870.163578
15,876.7815,833.309597
16,868.80804,878.549928
17,862.4346,880.651573
18,864.4986,878.918161
19,877.19147,872.6246753767425
20,876.19,879.3824607588851
21,875.2765,892.602149
22,877.6758,893.166854
23,883.0941,851.1769545309472
24,879.3472,879.976079116375
25,873.6737,869.6879700437229
26,867.8354,860.2795194220018
27,871.38354,858.530351079929
28,865.7905,868.462935305339
29,864.52325,873.9867648160715
30,867.6217,870.959044162417
31,871.2542,868.9134883722234
32,871.6153,873.4281915271779
33,871.0556,875.0893624298194
34,871.97003,883.3876469999999
35,875.1279,870.4077480000001
36,875.4324,867.229073
37,873.7508,872.1849891288688
38,870.2418,894.6995739999999
39,874.6822,868.2227074735928
40,877.19446,873.5331416066426
41,877.4096,868.9899939999999
42,870.71783,866.1904727004838
43,870.48956,826.80879
44,861.4732,880.3286689223678
45,859.96014,875.3086058211646
46,862.2184,861.9144020626511
47,873.2413,871.8478408702572
48,870.1378,878.5996102858333
49,870.25946,883.2799038498373
50,875.5919,861.1335868069988
51,874.7083,850.4192133759435
52,868.2909,879.1927001879207
53,864.5494,868.0242182686205
54,867.12555,858.6337664314775
55,870.43964,856.8879443262554
56,864.61115,866.8015270761872
57,863.3463,872.3147892553358
58,866.4381,884.4038954999999
59,872.76154,867.2512182150117
60,874.3699,864.9487245000001
61,872.7964,887.289404
62,871.4734,884.287105
63,876.1437,864.8152825920724
64,878.0175,872.6520413084608
65,873.5042,883.165962
66,872.08246,876.6921830218754
67,875.8287,884.3709439999999
68,878.3996,885.565337
69,878.842,841.99717
70,873.45844,858.843165
71,865.4169,866.0137644757804
72,859.14624,870.8078399999999
73,866.50104,886.311056
74,872.49115,862.823479
75,873.66046,797.387028
76,860.0731,876.9188101465097
77,850.73517,881.5901501007213
78,854.34,859.4861999475733
79,873.5105,848.7923235895247
80,867.10675,877.5107654412309
81,863.3724,813.880137
82,856.5669,886.621929
83,860.788,855.2114014430699
84,856.70966,865.1055877868365
85,870.2824,887.357262
86,868.2154,867.5920470612594
87,873.21857,865.5543990831057
88,873.80383,870.0516490724525
89,868.6499,871.706398137407
90,869.56036,888.0462509999999
91,874.1464,863.1232294865293
92,874.41394,876.244155
93,874.7344,861.8956419999998
94,868.7559,874.9768921837657
95,870.94824,863.1232874999998
96,868.30725,870.1561934306429
97,870.0608,861.9934385738628
98,867.185,885.4014470000001
99,871.1618,868.6915270000001
100,872.0489,872.9229849999999
101,874.8728,878.6647089999999
102,872.4156,858.5823701919886
103,871.48755,868.4774078142647
104,869.5853,875.2030759014232
105,867.8567,879.8652761521213
106,873.1671,805.599948
107,862.93555,847.131620181525
108,852.25604,875.793873006858
109,847.831,876.0884864212381
110,866.7737,896.797404
111,878.43463,871.523811
112,879.40735,837.3217880000001
113,872.36115,895.8833749999999
114,866.93976,886.9387629999999
115,871.24176,875.3083049093439
116,882.95105,882.856849
117,878.80304,881.5296306512367
118,877.34375,889.4304489999998
119,880.4853,818.36298
120,869.4441,880.7593036600545
121,864.1819,878.6038824554739
122,860.5894,884.8369797941289
123,878.3217,874.6124401707532
124,877.5297,879.9619567354465
125,877.52594,865.235038
126,873.48096,872.5652490542241
127,872.4116,874.059354764172
128,870.54944,879.5417709999999
129,873.93427,889.2456320000001
130,877.5126,879.132887
131,879.74884,878.2642529357373
132,879.6159,884.1426310000002
133,877.6617,889.7804508106477
134,879.9684,867.4711467312894
135,879.0641,856.6779202805507
136,872.8482,885.663167148918
