,Prediction,Test
0,920.2328,935.1001509999999
1,921.30096,925.7919620000001
2,925.0532,926.259609
3,925.4672,921.279794
4,922.39386,922.9583479999999
5,921.58453,929.958243
6,921.7537,922.922658
7,922.78796,922.6687895833484
8,922.8951,927.7636418465889
9,921.7781,925.0678999999999
10,922.51587,927.5682458343933
11,923.5808,926.5844646811702
12,923.32495,924.766316
13,923.4648,925.216631
14,922.84357,923.117297
15,922.15784,917.0251946647936
16,920.84863,924.1122
17,919.92975,920.6134330801001
18,919.5007,925.107979
19,921.1939,925.946796
20,921.4818,921.946476
21,922.2427,944.05415
22,924.878,926.2067792570391
23,926.3917,915.825341
24,926.31445,928.413553
25,921.10223,914.319649
26,919.25684,937.377046
27,922.6836,917.9928690778069
28,921.5595,927.5544675
29,924.3983,925.95503
30,921.3844,917.979182549904
31,922.27814,909.5590525876581
32,918.6854,914.886859
33,915.4227,917.189197
34,914.85236,925.002428
35,917.9658,904.4254590000002
36,917.2998,861.198655
37,907.96,923.84793
38,901.8945,926.578213
39,905.9409,919.4014724746472
40,921.6779,925.83842
41,921.6583,921.4114896387696
42,920.6506,925.947629
43,921.9611,918.763301
44,920.79675,914.081363
45,919.5557,927.28223
46,918.58014,914.105726
47,918.50226,909.3592816307021
48,918.0799,915.515916
49,914.4665,926.5724380000001
50,916.373,914.723124
51,918.79956,924.6852119336422
52,920.36804,919.634947
53,918.89044,945.757087
54,924.25793,926.049431
55,926.1724,924.1808081721939
56,927.9954,914.570227
57,920.94556,922.264058509902
58,919.3417,919.4713585
59,918.25,915.6901416295752
60,919.01056,926.6509820000001
61,919.05054,924.4584953598448
62,920.3427,920.8441752029055
63,922.122,920.2847049999999
64,920.6055,919.0004160000001
65,919.33746,927.2053669999999
66,920.13354,925.9472590000001
67,921.5621,921.434915
68,922.71106,924.376747
69,921.7559,926.093952
70,921.5437,927.6785975267004
71,922.96,914.158749
72,921.7279,946.0073040000001
73,923.7705,919.6342260440076
74,923.8278,916.7719834999999
75,925.4005,915.4890240711844
76,917.6552,922.3365316175843
77,917.6463,927.2839084734209
78,919.6931,925.2216228791979
79,922.3384,930.918262282578
80,924.0031,924.1956449706582
81,923.8003,924.8597349999999
82,923.78235,891.4999390000002
83,917.13135,912.6141298607977
84,912.5901,912.6373782182111
85,908.96045,910.72136947263
86,914.13135,912.600523525527
87,913.96765,904.2297291134429
88,912.6516,912.091563174472
89,912.3444,912.888341626386
90,912.1601,909.3192568586692
91,913.84344,910.1519246109559
92,913.33026,915.1776604387508
93,913.3635,911.896215
94,914.27356,916.9310419999999
95,915.56006,922.042534
96,916.6791,916.4458367632027
97,918.351,901.201662
98,916.04004,915.0988630000002
99,913.07837,904.5848903351282
100,910.8355,916.432404422818
101,913.7317,908.1244509407588
102,912.5599,925.9480919999999
103,916.3582,904.0311286621808
104,915.11414,913.677337
105,915.9972,915.128166
106,912.82294,915.777421
107,915.763,919.5905425000001
108,916.87146,914.62508
109,917.19257,938.0846985
110,920.5682,924.2121430000001
111,922.7545,914.202814
112,924.03326,920.7838700000001
113,919.03766,920.2186872512232
114,917.91614,916.250562
115,918.88855,913.6593498186363
116,917.40576,921.6031698074181
117,916.96515,930.716695
118,919.56555,896.182595
119,918.5578,925.8061940000001
120,917.21466,924.7214499625316
121,915.1243,924.512864
122,922.52295,926.245251
123,922.4546,920.4691785000001
124,921.93414,914.625263
125,920.12146,923.904517
126,918.6393,925.740644
127,919.6072,925.195499
128,922.3747,943.786482
129,925.5589,917.5946871537171
130,925.86145,925.2181569999999
131,925.62036,925.581182
132,920.6673,920.2909996300879
133,921.9323,925.227404332848
134,921.5176,923.1696924175436
135,921.00385,928.853697974468
136,922.66345,899.952456
