,Prediction,Test
0,851.51874,902.821884
1,842.7104,900.836551
2,838.5318,942.1792405473792
3,861.6565,867.1746840000001
4,858.0251,904.0686393333334
5,857.063,903.4124980638716
6,851.6018,953.0257738034294
7,863.7075,674.551031
8,834.3615,659.508239
9,794.4045,889.351379
10,780.00854,901.93675
11,817.132,781.959712
12,838.37067,807.299388
13,824.1356,901.772871
14,822.60486,938.3742157663477
15,846.7697,895.295944
16,861.3089,896.638144
17,860.0528,900.517879
18,854.2779,939.3584748835832
19,860.2926,890.5458261141702
20,860.6437,898.772088
21,859.71735,911.921064
22,855.42633,937.4139820033344
23,862.20123,930.9445568342784
24,867.44336,897.606315
25,865.79724,899.08042
26,859.6323,932.2200277022005
27,859.2546,781.3425139866248
28,844.6645,898.1586025000001
29,840.7963,898.845998
30,836.9334,901.4120539999999
31,855.1885,826.8440715704511
32,845.7369,884.316967
33,841.7,899.880188
34,841.7835,948.4701107761092
35,859.53687,789.0455136801681
36,848.44244,765.1871766435977
37,826.692,878.3458685
38,813.6584,937.7192882870336
39,836.4227,801.9323600425288
40,845.17114,847.386042
41,838.19354,875.258465
42,828.6711,933.8885902585545
43,847.9854,785.5473369221558
44,841.8889,837.320908
45,833.5907,917.827327574134
46,830.20734,888.565257
47,847.3054,863.983353
48,851.49646,890.580417
49,846.6315,914.105999
50,850.3582,932.932946614268
51,860.7167,926.4944466540164
52,866.4572,926.4376787514484
53,868.251,916.780264
54,865.9831,903.456334
55,862.63696,800.6813763330478
56,845.27716,823.1705825521497
57,829.5545,934.2372782375456
58,832.4099,960.8836552249899
59,857.4497,915.155475
60,872.4828,792.7610806604508
61,852.7558,925.039151
62,843.6692,971.94551699509
63,852.7896,905.863402
64,871.6369,784.1261812586876
65,851.7582,918.344972
66,839.95496,960.9286029104524
67,848.91656,924.6700255
68,871.364,812.2307759356619
69,856.90704,929.2897075203286
70,848.85345,957.0030919919316
71,854.46356,906.235976
72,869.9238,830.4236740965189
73,855.7738,919.392494
74,847.7028,924.6882530000001
75,851.33,930.354684
76,866.4396,923.406374
77,867.2265,922.435074
78,866.83026,922.115936
79,865.5829,879.641997
80,859.7145,907.394542
81,856.5,916.1969805
82,855.7399,948.80434796233
83,865.7149,918.2671995
84,868.23444,685.087198
85,837.00226,857.159051
86,817.411,954.3567987602897
87,822.8378,815.1482065
88,846.41315,913.277259
89,851.6752,919.750298
90,847.3498,921.958788
91,863.5989,899.2041445
92,861.89655,918.345615
93,861.10645,890.40107
94,857.0315,954.4014411360615
95,863.9441,833.7571385
96,853.95026,916.037138
97,855.07806,910.8474999999999
98,849.4479,900.888259
99,859.76495,799.5223301939918
100,843.809,908.809187
101,840.43964,840.541505
102,833.65125,921.646105
103,850.0403,922.437149
104,852.9361,930.482669049348
105,866.43335,911.9763215
106,865.3829,905.588716
107,862.7555,908.578709
108,859.3275,942.9191302423975
109,863.42615,909.4321010000001
110,864.9572,918.7415415
111,865.9741,789.9102324053162
112,845.198,812.0969032037544
113,828.6284,921.6694772570428
114,827.26965,902.5250895000001
115,845.9444,919.758944
116,861.7886,782.0964842897891
117,843.2711,908.952905198765
118,840.47546,958.87044698233
119,846.80896,855.3746025
120,860.3656,773.5777456318712
121,840.1933,909.813186
122,829.40356,948.0017376277544
123,844.1943,907.179654
124,865.6625,801.3042640312598
125,850.6728,887.882216
126,838.88684,923.567573
127,841.62225,766.877936
128,839.63086,819.2524227360167
129,826.55286,920.882939
130,824.7957,932.0412995
131,850.848,922.381308
132,866.78784,924.2433519812117
133,867.1602,906.8632405
134,863.68506,943.1629118945752
135,865.99994,936.6538113286856
136,868.3672,936.5964209444326
