,Prediction,Test
0,859.0762,902.821884
1,845.55676,900.836551
2,828.1029,942.1792405473792
3,856.8911,867.1746840000001
4,857.32025,904.0686393333334
5,858.4607,903.4124980638716
6,846.8015,953.0257738034294
7,858.24774,674.551031
8,846.62274,659.508239
9,817.5379,889.351379
10,768.99994,901.93675
11,798.3714,781.959712
12,843.44525,807.299388
13,831.0586,901.772871
14,814.10034,938.3742157663477
15,835.374,895.295944
16,858.85345,896.638144
17,861.08673,900.517879
18,851.86755,939.3584748835832
19,855.27295,890.5458261141702
20,858.3964,898.772088
21,860.77814,911.921064
22,851.8544,937.4139820033344
23,857.2307,930.9445568342784
24,863.35046,897.606315
25,865.9658,899.08042
26,859.9063,932.2200277022005
27,854.8179,781.3425139866248
28,849.83826,898.1586025000001
29,843.71875,898.845998
30,826.4827,901.4120539999999
31,852.87933,826.8440715704511
32,848.4691,884.316967
33,842.3376,899.880188
34,834.7713,948.4701107761092
35,853.01807,789.0455136801681
36,852.8127,765.1871766435977
37,839.6519,878.3458685
38,808.25543,937.7192882870336
39,822.64984,801.9323600425288
40,847.33124,847.386042
41,844.50714,875.258465
42,822.42206,933.8885902585545
43,840.32355,785.5473369221558
44,845.01636,837.320908
45,840.6746,917.827327574134
46,820.1476,888.565257
47,841.0726,863.983353
48,853.3697,890.580417
49,845.1068,914.105999
50,844.89355,932.932946614268
51,855.40497,926.4944466540164
52,862.91626,926.4376787514484
53,866.23584,916.780264
54,864.1432,903.456334
55,861.88837,800.6813763330478
56,851.04083,823.1705825521497
57,835.0795,934.2372782375456
58,822.6081,960.8836552249899
59,844.95404,915.155475
60,870.6351,792.7610806604508
61,862.0524,925.039151
62,843.283,971.94551699509
63,837.5793,905.863402
64,869.5103,784.1261812586876
65,862.6485,918.344972
66,839.5484,960.9286029104524
67,833.99066,924.6700255
68,867.69476,812.2307759356619
69,864.70026,929.2897075203286
70,848.4393,957.0030919919316
71,841.5554,906.235976
72,868.3851,830.4236740965189
73,862.42645,919.392494
74,846.2294,924.6882530000001
75,842.1218,930.354684
76,863.19635,923.406374
77,864.7272,922.435074
78,864.9564,922.115936
79,863.237,879.641997
80,860.1677,907.394542
81,855.9395,916.1969805
82,850.90497,948.80434796233
83,860.5192,918.2671995
84,865.0804,685.087198
85,852.60364,857.159051
86,824.33496,954.3567987602897
87,802.96655,815.1482065
88,845.7954,913.277259
89,854.44556,919.750298
90,837.5217,921.958788
91,860.5727,899.2041445
92,860.8358,918.345615
93,859.3862,890.40107
94,855.1336,954.4014411360615
95,859.7082,833.7571385
96,854.48553,916.037138
97,857.26886,910.8474999999999
98,841.4884,900.888259
99,858.547,799.5223301939918
100,849.2737,908.809187
101,839.981,840.541505
102,828.2033,921.646105
103,848.3805,922.437149
104,844.5562,930.482669049348
105,863.39374,911.9763215
106,863.4847,905.588716
107,862.26,908.578709
108,857.40173,942.9191302423975
109,858.65234,909.4321010000001
110,861.95557,918.7415415
111,865.56354,789.9102324053162
112,850.8309,812.0969032037544
113,836.24274,921.6694772570428
114,817.8384,902.5250895000001
115,836.8855,919.758944
116,859.883,782.0964842897891
117,848.9082,908.952905198765
118,841.75006,958.87044698233
119,832.0874,855.3746025
120,860.7105,773.5777456318712
121,851.89056,909.813186
122,826.2381,948.0017376277544
123,829.59503,907.179654
124,862.80023,801.3042640312598
125,858.6056,887.882216
126,840.26215,923.567573
127,831.1182,766.877936
128,845.155,819.2524227360167
129,834.5462,920.882939
130,813.66516,932.0412995
131,840.3126,922.381308
132,864.0422,924.2433519812117
133,865.31024,906.8632405
134,862.2547,943.1629118945752
135,862.61597,936.6538113286856
136,863.40027,936.5964209444326
