,Prediction,Test
0,2013.0043,1956.1015572658368
1,1939.1362,2362.9997885
2,2066.0437,1860.8689459999998
3,2112.621,1961.624118207156
4,2133.6538,2011.3712853371999
5,2055.0,2222.138148
6,2092.5503,1996.3144732351775
7,2114.0308,1914.4347067675849
8,2121.06,2139.463753
9,2082.2815,2865.5072390000005
10,2137.5193,1692.876942
11,2197.7576,1782.1568471872706
12,2195.771,1976.3300504241643
13,1999.6086,2235.1400189999995
14,2055.3936,2993.3318460000005
15,2168.3865,2025.0788632495783
16,2251.3557,2383.680516
17,2296.9878,1027.446679
18,2077.5286,2310.806061
19,2055.7485,2099.8142451042418
20,1946.0386,1971.031085599184
21,2153.7202,2217.1713889999996
22,2113.2349,1404.621174
23,2070.163,2003.8006328621861
24,2052.956,2061.1636797514498
25,1977.5608,663.287925
26,2012.2899,1932.7372774346184
27,1928.567,1731.0187309366916
28,1810.7002,2404.022814
29,2063.7246,2336.3954779999995
30,2103.7598,2049.826997554272
31,2204.846,564.032188
32,2066.7527,1922.0077045572368
33,1913.6229,2003.7635284765583
34,1806.931,1907.619854299493
35,2065.3682,1829.3779388732828
36,2064.256,1905.935898088131
37,2041.3232,2518.9984149999996
38,2072.5413,2195.625603
39,2142.2173,1702.9770763825559
40,2188.1697,2524.927921
41,2116.6868,2073.912341666017
42,2097.4207,1355.234829
43,2153.2224,1935.1062659966246
44,2016.1042,1842.2119791261823
45,1946.9722,2002.2941035421425
46,2053.8005,2356.189855
47,2077.031,1775.5032650000003
48,2115.3206,1930.5528755
49,2120.0376,2317.310959
50,2053.461,2410.8378489999996
51,2135.2356,2037.3888720000002
52,2196.9062,2023.3093029999998
53,2167.953,1922.7163315000003
54,2090.2676,1911.347868
55,2074.6782,1646.423911
56,2038.552,2425.204822
57,2050.627,2353.881467
58,2091.4312,1871.429131350453
59,2200.1638,957.423062
60,2072.3362,1754.734040131206
61,1918.9594,1829.374597955221
62,1850.0767,1824.8911075
63,2007.876,1670.1659072409918
64,2012.0089,1740.0609741331493
65,1996.5189,2153.9519709999995
66,2000.8108,1828.8443703400146
67,2044.7892,1554.7657995366803
68,2066.156,1724.163827581001
69,1982.234,1403.415662
70,1932.5096,1794.06593492896
71,1948.4423,1766.6926246779512
72,1934.4268,1681.8829920636904
73,1999.0326,1828.0330580926473
74,1992.344,1923.882126
75,2000.0018,1831.8922819956197
76,2033.507,1719.5409744938381
77,2033.4878,1820.5128407873287
78,2008.6615,1743.053985
79,1995.3185,1047.161783
80,1962.8784,1798.151406
81,1908.7063,2043.8613090915078
82,1884.7439,1972.49048073468
83,2050.9243,1766.6229179778186
84,2075.8938,2156.453177
85,2060.7778,1784.316041
86,2047.4009,2074.865402
87,2092.471,1913.0255210183047
88,2048.5366,3059.640675
89,2151.4387,1891.542229
90,2190.4863,1946.8564338246001
91,2266.4077,1995.076917
92,2057.972,1728.1638340000002
93,2058.1797,1742.173674
94,2035.492,3179.4294479999994
95,2072.3796,1542.355913
96,2151.4216,1927.367118565145
97,2244.1895,2116.5692821138077
98,1997.4171,1959.584217
99,2083.2214,1974.9081954660523
100,2100.4512,1880.103227038168
101,2067.2385,1542.8317835
102,2038.26,1951.235789303608
103,2003.9106,2047.7920326313958
104,1996.3096,1809.0603570000003
105,2070.2827,1541.7743380000002
106,2043.1439,1936.2042288151601
107,1989.6274,1954.157126290582
108,1988.7102,2010.099022418382
109,2068.1267,1946.5503488369666
110,2074.498,1734.348346
111,2064.4727,1682.511646928553
112,2023.6033,1816.8145079877431
113,1985.7091,1951.8364447229467
114,2000.4238,1783.1744820000001
115,2031.8857,1821.9438269651585
116,2038.9186,1868.1486748870047
117,2014.8793,1947.6135145736698
118,2032.5127,1854.1640049349828
119,2045.2397,1778.1146060290778
120,2044.1572,1852.5272370087328
121,2021.8793,2076.182784
122,2030.0852,1947.049016482174
123,2063.5244,1655.2557833476028
124,2072.1245,1835.6026019434325
125,2023.226,1299.721389
126,1958.5312,2144.87261
127,1977.4038,1880.8801848273124
128,1964.1971,2016.9949739999997
129,2098.654,1946.1852662697909
130,2061.5867,1687.4705379999998
131,2062.895,2829.373667
132,2086.077,1830.6809575965008
133,2116.575,1938.1789908613866
134,2215.5195,1857.240744
135,2037.2618,1861.1171017049032
136,2047.75,1935.3871040000001
