,Prediction,Test
0,790.6043,782.922791829745
1,790.3144,791.7963967283521
2,801.7706,775.31783
3,801.39795,769.1108302438811
4,797.5372,899.8647185
5,826.63104,928.516322
6,870.8726,930.402694
7,918.38165,770.2091806779291
8,881.946,899.651842
9,871.5513,894.331498
10,861.5791,896.638458
11,898.5005,756.9936876650577
12,858.41125,830.999637
13,838.9082,769.4721020171293
14,803.6519,754.468546
15,802.96185,766.4296223858179
16,784.6544,808.3473435
17,795.09784,517.248735
18,733.04895,479.357309
19,656.94934,779.4431197455935
20,645.7295,647.745418
21,681.7419,850.291766
22,779.7541,809.239782
23,789.1126,785.4000585859056
24,828.2505,528.4307925
25,741.35156,837.7608
26,744.76385,723.990276
27,730.12427,867.4698881585783
28,822.54895,873.6386827502005
29,833.16187,883.5404566872537
30,879.2368,872.1303054855339
31,880.7565,858.2263533966636
32,876.37665,672.715583
33,817.74036,643.301987
34,753.72614,886.7539821812742
35,758.6244,896.691156
36,821.9815,909.2474645
37,898.9778,889.247411
38,899.9735,861.419833
39,889.85126,844.7052187564019
40,871.0972,888.7161325
41,870.39545,928.618255
42,889.7221,934.492753
43,916.27234,855.2344786859741
44,907.2486,906.6789715
45,899.94775,909.220204
46,892.6663,920.96559
47,911.92804,869.7558271637689
48,901.6235,868.6755301241577
49,889.55383,874.635757108527
50,875.94073,927.990734
51,892.40344,925.377796
52,909.3154,937.009106
53,927.689,917.504734
54,924.8211,889.770099
55,914.49225,887.7408201852359
56,899.87616,903.1107605
57,895.4654,926.076068
58,905.95715,892.5101415838371
59,907.8096,878.28128361461
60,900.5338,891.5969899705298
61,890.2078,887.9803029805886
62,888.96246,907.4755425979956
63,897.30896,920.283692
64,905.6851,910.427158
65,912.4716,931.03184
66,919.1925,707.807679
67,859.40454,864.4441887260936
68,843.66626,887.7912543050991
69,831.5453,878.6938356477696
70,881.1693,881.2134520778004
71,886.0196,875.2194951354767
72,882.4155,886.8438217637281
73,884.6512,881.1662393782053
74,884.7374,875.555890053973
75,884.88055,884.789755
76,884.1587,888.9746354472792
77,886.4276,895.0741402990568
78,892.09705,895.118196
79,895.15045,906.495357
80,900.1799,882.5151379119034
81,896.7846,908.329641
82,900.30853,866.9777284065917
83,889.23444,897.7557769871544
84,893.2321,904.1399420829964
85,892.0332,903.19175
86,902.7213,902.5789029948212
87,904.1475,895.904185
88,901.7908,901.6554497554615
89,901.2527,897.9979614830438
90,899.96246,917.7131346420564
91,906.16296,889.4579277510287
92,902.9391,902.458017
93,904.01874,917.715275
94,903.8947,897.3253086300324
95,906.49115,906.178473
96,907.4254,916.456386
97,906.9701,929.145284
98,916.27936,922.902182
99,921.3524,885.0931938960562
100,912.4466,903.035773
101,904.4101,891.1070257226255
102,895.24005,885.4333838192437
103,895.365,824.496298
104,873.0422,911.325194
105,877.76117,848.194313
106,867.8899,901.7279673037132
107,889.6521,897.318687
108,885.7747,892.4711417164629
109,898.82,903.8613024301873
110,899.3061,865.5440687616514
111,890.4266,910.689667
112,895.1485,822.949824
113,872.58636,929.774245
114,889.87177,901.0863722097728
115,887.7304,886.7207875392991
116,906.5769,900.1644460196092
117,897.6562,896.5130058764181
118,896.3952,916.1955774503784
119,904.8485,913.048419
120,908.7529,894.8076887032404
121,908.43964,918.420995298432
122,908.77576,895.8414653417731
123,904.02167,872.7507304451698
124,897.706,896.3221406108812
125,890.8774,887.1373038314812
126,888.50275,889.6811315400018
127,893.41425,883.6295779892989
128,889.7643,895.3656040833495
129,892.02875,920.860133
130,900.95374,883.9692053645126
131,901.5423,898.6330575578312
132,902.22363,897.5168929959423
133,895.4149,903.6750086778668
134,901.14325,900.2368436507293
135,901.67395,887.516457
136,898.8578,902.036224
