,Prediction,Test
0,1988.1713,1956.1015572658368
1,1985.0577,2362.9997885
2,2109.5942,1860.8689459999998
3,2107.4246,1961.624118207156
4,2102.2925,2011.3712853371999
5,2067.0486,2222.138148
6,2113.583,1996.3144732351775
7,2114.4487,1914.4347067675849
8,2097.543,2139.463753
9,2093.6458,2865.5072390000005
10,2213.3457,1692.876942
11,2167.48,1782.1568471872706
12,2110.756,1976.3300504241643
13,2020.995,2235.1400189999995
14,2091.2659,2993.3318460000005
15,2249.771,2025.0788632495783
16,2240.0396,2383.680516
17,2250.2046,1027.446679
18,2001.6382,2310.806061
19,2046.7986,2099.8142451042418
20,2031.9548,1971.031085599184
21,2128.1995,2217.1713889999996
22,2122.9128,1404.621174
23,2027.2122,2003.8006328621861
24,2034.1855,2061.1636797514498
25,2029.2267,663.287925
26,1907.7069,1932.7372774346184
27,1912.6553,1731.0187309366916
28,1892.9849,2404.022814
29,2099.9836,2336.3954779999995
30,2153.7651,2049.826997554272
31,2179.2305,564.032188
32,1928.6727,1922.0077045572368
33,1897.2406,2003.7635284765583
34,1918.448,1907.619854299493
35,2064.7048,1829.3779388732828
36,2050.6028,1905.935898088131
37,2040.7681,2518.9984149999996
38,2126.7288,2195.625603
39,2167.9949,1702.9770763825559
40,2125.8208,2524.927921
41,2141.9045,2073.912341666017
42,2129.6484,1355.234829
43,2062.652,1935.1062659966246
44,2002.7004,1842.2119791261823
45,1984.7572,2002.2941035421425
46,2058.7703,2356.189855
47,2117.878,1775.5032650000003
48,2099.7727,1930.5528755
49,2086.3958,2317.310959
50,2096.0916,2410.8378489999996
51,2174.9758,2037.3888720000002
52,2177.4421,2023.3093029999998
53,2138.4612,1922.7163315000003
54,2081.9092,1911.347868
55,2066.033,1646.423911
56,2016.7938,2425.204822
57,2089.8127,2353.881467
58,2149.5679,1871.429131350453
59,2159.007,957.423062
60,1962.8641,1754.734040131206
61,1904.7823,1829.374597955221
62,1916.3755,1824.8911075
63,2012.7716,1670.1659072409918
64,1998.8976,1740.0609741331493
65,1988.4556,2153.9519709999995
66,2037.7568,1828.8443703400146
67,2052.8684,1554.7657995366803
68,2018.8661,1724.163827581001
69,1972.0048,1403.415662
70,1918.9446,1794.06593492896
71,1950.9769,1766.6926246779512
72,1961.6759,1681.8829920636904
73,1989.2662,1828.0330580926473
74,1995.7803,1923.882126
75,2018.3448,1831.8922819956197
76,2033.7715,1719.5409744938381
77,2016.9938,1820.5128407873287
78,2006.6669,1743.053985
79,1996.4303,1047.161783
80,1900.8512,1798.151406
81,1908.2054,2043.8613090915078
82,1961.4486,1972.49048073468
83,2065.212,1766.6229179778186
84,2054.507,2156.453177
85,2074.6228,1784.316041
86,2049.9177,2074.865402
87,2085.7036,1913.0255210183047
88,2059.3796,3059.640675
89,2228.905,1891.542229
90,2194.6284,1946.8564338246001
91,2179.9443,1995.076917
92,2066.2778,1728.1638340000002
93,2041.4142,1742.173674
94,2014.7527,3179.4294479999994
95,2185.604,1542.355913
96,2142.4692,1927.367118565145
97,2145.8464,2116.5692821138077
98,2042.3324,1959.584217
99,2086.794,1974.9081954660523
100,2089.731,1880.103227038168
101,2061.343,1542.8317835
102,2004.1388,1951.235789303608
103,2007.6111,2047.7920326313958
104,2035.8904,1809.0603570000003
105,2059.8103,1541.7743380000002
106,2002.9426,1936.2042288151601
107,1997.6089,1954.157126290582
108,2020.8961,2010.099022418382
109,2074.1787,1946.5503488369666
110,2074.4285,1734.348346
111,2043.0398,1682.511646928553
112,2001.94,1816.8145079877431
113,1990.7587,1951.8364447229467
114,2020.8646,1783.1744820000001
115,2029.327,1821.9438269651585
116,2028.0862,1868.1486748870047
117,2020.9471,1947.6135145736698
118,2042.0836,1854.1640049349828
119,2044.2678,1778.1146060290778
120,2030.5543,1852.5272370087328
121,2020.9918,2076.182784
122,2053.1135,1947.049016482174
123,2071.7405,1655.2557833476028
124,2039.3419,1835.6026019434325
125,2013.2003,1299.721389
126,1929.6813,2144.87261
127,1998.6049,1880.8801848273124
128,2010.6002,2016.9949739999997
129,2088.6765,1946.1852662697909
130,2067.2258,1687.4705379999998
131,2037.2352,2829.373667
132,2154.5562,1830.6809575965008
133,2132.5793,1938.1789908613866
134,2146.0151,1857.240744
135,2039.393,1861.1171017049032
136,2041.4337,1935.3871040000001
